pair_id	topic_name	ontology	ontology_term_label	similarity	match_type	stratum	label
1	Regional Development and Management Studies	unesco	Regional development	0.8137	label	mid_range	
2	Fuzzy Logic and Control Systems	stw	Fuzzy logic	0.8976	synonym	high_quality	
3	Quantum chaos and dynamical systems	physh	Quantum chaotic systems	0.9625	label	exact	
4	Visual Attention and Saliency Detection	hpo	Visual gaze preference	0.7775	label	mid_range	
5	Scientific Research Methodologies and Applications	unesco	Scientific methods	0.8335	label	mid_range	
6	Tracheal and airway disorders	hpo	Tracheal disease	0.8563	synonym	high_quality	
7	Material Selection and Properties	msc2020	Material properties given special treatment	0.866	label	high_quality	
8	Brucella: diagnosis, epidemiology, treatment	physh	Epidemiology, prevention & mitigation of disease spreading	0.686	label	borderline	
9	Peroxisome Proliferator-Activated Receptors	mesh	Peroxisome Proliferator-Activated Receptors	1.0	exact	exact	
10	Eosinophilic Esophagitis	hpo	Eosinophilic esophagitis	1.0	synonym	exact	
11	Mathematical functions and polynomials	cso	orthogonal polynomials	0.8144	label	mid_range	
12	Skin Diseases and Diabetes	unesco	Skin diseases	0.839	label	mid_range	
13	Metallurgical Processes and Thermodynamics	physh	Metallurgical magnetohydrodynamics	0.8168	label	mid_range	
14	Insect and Pesticide Research	edam	Entomology	0.7552	synonym	mid_range	
15	Engineering and Agricultural Innovations	unesco	Agricultural engineering	0.8895	label	high_quality	
16	Gene Regulatory Network Analysis	edam	Gene regulatory network analysis	1.0	label	exact	
17	Gene Regulatory Network Analysis	physh	Gene regulatory networks	0.9424	label	high_quality	
18	Water Quality Monitoring Technologies	stw	Environmental monitoring	0.8079	synonym	mid_range	
19	Rangeland and Wildlife Management	stw	Wildlife management	0.8714	synonym	high_quality	
20	Urban and Freight Transport Logistics	msc2020	Transportation, logistics and supply chain management	0.8542	label	high_quality	
21	Composite Material Mechanics	unesco	Composite materials	0.8649	label	high_quality	
22	Cancer Research and Treatment	hpo	Head and neck cancer	0.7587	synonym	mid_range	
23	Remote-Sensing Image Classification	cso	remote sensing image classification	0.9914	label	exact	
24	Alcoholism and Thiamine Deficiency	go	thiamin and derivative metabolism	0.801	synonym	mid_range	
25	Microfinance and Financial Inclusion	unesco	Microfinance	0.8042	synonym	mid_range	
26	Multiferroics and related materials	physh	Multiferroics	0.9196	label	high_quality	
27	Interconnection Networks and Systems	cso	interconnection networks	0.9604	label	exact	
28	History and Theory of Mathematics	msc2020	History of mathematics and mathematicians	0.9234	label	high_quality	
29	Fashion and Cultural Textiles	cso	smart textiles	0.792	label	mid_range	
30	Plant Taxonomy and Phylogenetics	unesco	Botanical taxonomy	0.905	synonym	high_quality	
31	Low-power high-performance VLSI design	cso	low-power design	0.8661	synonym	high_quality	
32	Aeolian processes and effects	unesco	Environmental effects	0.7266	synonym	borderline	
33	Hand Gesture Recognition Systems	hpo	Hand-taking gestures	0.7864	synonym	mid_range	
34	Vehicular Ad Hoc Networks (VANETs)	cso	vehicular ad hoc network (vanet)	0.962	label	exact	
35	Collembola Taxonomy and Ecology Studies	edam	Taxonomic classification	0.688	label	borderline	
36	Mathematical and Theoretical Epidemiology and Ecology Models	edam	Ecological modelling	0.8128	label	mid_range	
37	Cultural and Mythological Studies	unesco	Cultural studies	0.8617	label	high_quality	
38	Laser-Plasma Interactions and Diagnostics	physh	Laser-plasma interactions	0.9508	label	exact	
39	Iterative Learning Control Systems	msc2020	Iterative learning control	0.9708	label	exact	
40	Marketing and Advertising Strategies	cso	marketing strategy	0.8636	label	high_quality	
41	Advanced Radiotherapy Techniques	physh	Radiation therapy	0.7718	label	mid_range	
42	Atomic and Molecular Physics	unesco	Atomic physics	0.8465	synonym	mid_range	
43	Diverse Musicological Studies	physh	Musical acoustics	0.7181	label	borderline	
44	Educational Reforms and Innovations	stw	Education reform	0.853	label	high_quality	
45	Coal and Coke Industries Research	stw	Industrial research	0.7948	label	mid_range	
46	Travel-related health issues	physh	Transportation	0.685	label	borderline	
47	Radiopharmaceutical Chemistry and Applications	physh	Radiopharmaceuticals	0.8624	label	high_quality	
48	Soil Science and Environmental Management	edam	Soil science	0.8722	synonym	high_quality	
49	Research in Cotton Cultivation	go	cotton fiber development	0.7784	synonym	mid_range	
50	Data Analysis with R	cso	regression analysis	0.7861	synonym	mid_range	
51	Place Attachment and Urban Studies	stw	Urban studies	0.8163	label	mid_range	
52	Psychosomatic Disorders and Their Treatments	hpo	Psychosomatic seizure	0.7381	synonym	borderline	
53	Media, Religion, Digital Communication	unesco	Digital media	0.7955	synonym	mid_range	
54	Historical and Scientific Studies	stw	Historical studies	0.8886	label	high_quality	
55	Wireless Power Transfer Systems	physh	Wireless power transfer	0.9609	label	exact	
56	Education Systems and Policy	msc2020	Educational policy and systems	0.9679	label	exact	
57	Technology in Education and Healthcare	unesco	Educational technology	0.8598	label	high_quality	
58	Research in Social Sciences	stw	Social research	0.8862	label	high_quality	
59	Advanced Frequency and Time Standards	physh	Time & frequency standards	0.9242	label	high_quality	
60	Face and Expression Recognition	cso	facial expression recognition	0.9467	label	high_quality	
61	Natural Antidiabetic Agents Studies	go	regulation of glucose biosynthesis	0.6764	synonym	borderline	
62	Distributed and Parallel Computing Systems	cso	distributed computing systems	0.9517	label	exact	
63	Integrated Energy Systems Optimization	stw	Energy systems integration	0.8677	synonym	high_quality	
64	Biofield Effects and Biophysics	physh	Electric field effects	0.8043	label	mid_range	
65	Hallucinations in medical conditions	hpo	Hallucinations	0.8844	label	high_quality	
66	Aquatic life and conservation	stw	Marine conservation	0.8278	label	mid_range	
67	Eosinophilic Esophagitis	mesh	Eosinophilic Esophagitis	1.0	exact	exact	
68	Media and Digital Communication	cso	digital communication	0.8769	synonym	high_quality	
69	Botulinum Toxin and Related Neurological Disorders	edam	Neurological disorders	0.7758	synonym	mid_range	
70	Chemical and Physical Studies	unesco	Physical chemistry	0.8343	label	mid_range	
71	Time Series Analysis and Forecasting	stw	Time series analysis	0.8947	label	high_quality	
72	Pharmacology and Obesity Treatment	unesco	Obesity	0.7545	label	mid_range	
73	Neural Networks and Applications	physh	Neural networks	0.8919	synonym	high_quality	
74	Diatoms and Algae Research	edam	Freshwater science	0.7324	synonym	borderline	
75	Computer Graphics and Visualization Techniques	edam	Computer graphics	0.8725	synonym	high_quality	
76	Spider Taxonomy and Behavior Studies	physh	Animal behavior, social interactions & emergent phenomena	0.6873	label	borderline	
77	Image Processing and 3D Reconstruction	edam	Image processing	0.861	synonym	high_quality	
78	IL-33, ST2, and ILC Pathways	go	IL33 signaling pathway	0.8504	synonym	high_quality	
79	Educational Systems and Policies	msc2020	Educational policy and systems	0.9714	label	exact	
80	Arctic and Russian Policy Studies	stw	International environmental policy	0.7256	label	borderline	
81	Crystallography and Radiation Phenomena	edam	X-ray crystallography	0.8288	synonym	mid_range	
82	Environmental and Industrial Safety	unesco	Industrial safety	0.8697	synonym	high_quality	
83	Blind Source Separation Techniques	cso	blind source separation	0.9562	synonym	exact	
84	Family Caregiving in Mental Illness	unesco	Mental illness	0.6991	synonym	borderline	
85	Social Work Education and Practice	stw	Social work	0.814	synonym	mid_range	
86	Chalcogenide Semiconductor Thin Films	cso	optical thin films	0.7917	label	mid_range	
87	Focus Groups and Qualitative Methods	unesco	Qualitative analysis	0.7698	label	mid_range	
88	Polish Legal and Social Issues	stw	Polish People	0.7569	label	mid_range	
89	Biochemical effects in animals	msc2020	Animal behavior	0.7457	label	borderline	
90	Infectious Diseases and Tuberculosis	doid	tuberculosis	0.7854	label	mid_range	
91	Topology Optimization in Engineering	cso	topology optimization	0.958	label	exact	
92	Attention Deficit Hyperactivity Disorder	ncit	Attention Deficit Hyperactivity Disorder	1.0	exact	exact	
93	Plant Gene Expression Analysis	cso	gene expression profiling	0.8654	label	high_quality	
94	Attention Deficit Hyperactivity Disorder	hpo	Attention deficit hyperactivity disorder	1.0	label	exact	
95	Digital and Traditional Archives Management	stw	Digital preservation	0.8129	label	mid_range	
96	Environmental Impact and Sustainability	unesco	Environmental impact	0.8691	synonym	high_quality	
97	Freedom of Expression and Defamation	stw	Freedom of expression	0.744	label	borderline	
98	Growth Hormone and Insulin-like Growth Factors	go	insulin-like growth factor	0.8703	synonym	high_quality	
99	Metaheuristic Optimization Algorithms Research	stw	Metaheuristics	0.87	label	high_quality	
100	History of Medicine and Tropical Health	stw	Tropical disease	0.7307	label	borderline	
101	Amyloidosis: Diagnosis, Treatment, Outcomes	doid	AH/AL amyloidosis	0.8098	synonym	mid_range	
102	Semiconductor Quantum Structures and Devices	cso	semiconductor quantum wires	0.8729	label	high_quality	
103	Nuclear physics research studies	cso	nuclear physics	0.8506	label	high_quality	
104	Autophagy in Disease and Therapy	hpo	Autophagia	0.7781	label	mid_range	
105	NMR spectroscopy and applications	edam	NMR spectroscopy	0.9185	synonym	high_quality	
106	China's Global Influence and Migration	msc2020	Currents in global analysis	0.6926	label	borderline	
107	Youth Education and Societal Dynamics	msc2020	Mathematics education and society	0.719	label	borderline	
108	Astronomical and nuclear sciences	stw	Nuclear physics	0.8001	label	mid_range	
109	Nursing care and research	stw	Evidence-based practice	0.7133	synonym	borderline	
110	Cellular and Composite Structures	stw	Composite materials	0.8316	label	mid_range	
111	Image Processing and 3D Reconstruction	physh	Image processing	0.861	label	high_quality	
112	Higher Education and Teaching Methods	stw	Higher education teaching	0.8783	label	high_quality	
113	Doping in Sports	mesh	Doping in Sports	1.0	exact	exact	
114	Surface Treatment and Coatings	physh	Coatings	0.8661	label	high_quality	
115	Engine and Fuel Emissions	cso	internal combustion engines	0.7839	label	mid_range	
116	Advanced Scientific Techniques and Applications	msc2020	Applications to the sciences	0.785	label	mid_range	
117	Geological Formations and Processes Exploration	cso	geophysical prospecting	0.7966	label	mid_range	
118	Digital Image Processing Techniques	cso	digital image processing	0.9553	synonym	exact	
119	Radioactivity and Radon Measurements	cso	noise measurements	0.7149	label	borderline	
120	Connective tissue disorders research	doid	connective tissue disorder	0.8689	synonym	high_quality	
121	Global Health Care Issues	edam	Health care research	0.715	synonym	borderline	
122	Multi-Criteria Decision Making	cso	multi-criteria decision making	1.0	label	exact	
123	Engineering Education and Pedagogy	unesco	Engineering education	0.8681	label	high_quality	
124	Eosinophilic Esophagitis	ncit	Eosinophilic Esophagitis	1.0	exact	exact	
125	Wheat and Barley Genetics and Pathology	cso	genetic selection	0.6984	synonym	borderline	
126	Tendon Structure and Treatment	go	tendon development	0.7947	label	mid_range	
127	Education Systems and Policies	msc2020	Educational policy and systems	0.9623	label	exact	
128	Advanced Mathematical Theories	msc2020	Models of other mathematical theories	0.8339	label	mid_range	
129	Scientific Research and Technology	unesco	Scientific research	0.8915	synonym	high_quality	
130	Grey System Theory Applications	msc2020	Applications of mathematical programming	0.7533	label	mid_range	
131	Crustacean biology and ecology	go	organelle organization and biogenesis	0.7276	synonym	borderline	
132	Health and Lifestyle Studies	msc2020	Social and behavioral sciences: general topics	0.7258	label	borderline	
133	Fullerene Chemistry and Applications	unesco	Molecular physics	0.7014	label	borderline	
134	History and Politics in Latin America	msc2020	History, political science	0.7511	label	mid_range	
135	Connective tissue disorders research	unesco	Biomedical research	0.7764	synonym	mid_range	
136	Mercury impact and mitigation studies	unesco	Mercury	0.7337	label	borderline	
137	Satellite Communication Systems	stw	Satellite communications	0.9606	label	exact	
138	Social Science and Policy Research	unesco	Social science policy	0.8811	label	high_quality	
139	Latin American history and culture	unesco	Latin American history	0.9362	label	high_quality	
140	Cultural and Artistic Studies	stw	Cultural studies	0.8806	label	high_quality	
141	Synthesis of Organic Compounds	go	organic hydroxy compound synthesis	0.8839	synonym	high_quality	
142	Lower Extremity Biomechanics and Pathologies	physh	Biomechanics	0.8354	label	mid_range	
